title,location,size,rental fee
5 Bed Townhouse with En Suite in Kilimani,Kilimani,Beautiful 5 bedrooms Townhouse to Let in Kilima...,"KSh 230,000"
5 Bed House with En Suite in Karen,Karen,LESS CROWDED REAL ESTATE!!PALATIAL FIVE BEDROOM...,"KSh 350,000"
3 Bed Villa with En Suite at Kuro Road,"Kuro Road, Karen",3- BEDROOM ALL ENSUITE VILLA TO LET IN KAREN,"KSh 250,000"
6 Bed Townhouse with En Suite in Lavington,Lavington,Amazing & Characterful 6-Bedroom Stand Alone Ho...,"KSh 240,000"
5 Bed House with En Suite at Convent Drive,"89, Convent Drive, Lavington",A one of a kind townhouse in a gated compound o...,"KSh 210,000"
4 Bed House at Shanzu Road,"Shanzu Road, Spring Valley, Westlands","4 bed Townhouse, Shanzu road","KSh 250,000"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",Spring Valley 4 Bedroom Furnished Cottage with...,"KSh 300,000"
6 Bed House with En Suite in Kileleshwa,Kileleshwa,Kileleshwa 6 bedroom house to let,"KSh 225,000"
3 Bed House with En Suite at Miotoni Road,"miotoni road, Karen",3 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 140,000"
4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",MASTERFULLY BUILT 4 BEDROOM HOUSE FOR RENT IN N...,"KSh 200,000"
5 Bed House with En Suite in Garden Estate,"Garden Estate, Roysambu",Garden Estate/Ridgeways 5 bedroom house to let.,"KSh 189,000"
2 Bed House with Garden in Runda,"Runda, Westlands",2 Bedroom Furnished Guest House For Rent In Run...,"KSh 165,000"
4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",SUPREMELY STYLISH FULLY FURNISHED 4 BEDROOM HOU...,"KSh 350,000"
4 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",Spacious4 Bedroom Villa for Rent in Lower Kabet...,"KSh 520,000"
5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",EXQUISITE 5 BEDROOM HOUSE IN SERENE KITISURU,"KSh 450,000"
5 Bed Townhouse with En Suite in Thigiri,"Thigiri, Westlands",To Let 5 Bedrooms With Dsq Home In Thigiri West...,"KSh 450,000"
5 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",Elegant and cozy 5 bedroomed villa for rent,"KSh 300,000"
5 Bed Townhouse in Karen,Karen,"5 bedrooms, 300k","KSh 300,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Lavington a stylishly designed 5 bedrooms plus...,"KSh 350,000"
4 Bed Townhouse with En Suite in Kikuyu Town,"Kikuyu Town, Kikuyu",Four Bedroom Townhouse To Let Kikuyu Town,"KSh 75,000"
3 Bed House with En Suite at Joska,"Joska, Kamulu, Kamulu Joska Malaa",Spacious and Serene 3 Bedroom Bungalow in Joska...,"KSh 30,000"
4 Bed House with En Suite at Runda Mimosa,"Runda mimosa, Runda, Westlands",Spectacular 4 bedrooms fully furnished for let...,"KSh 350,000"
5 Bed Villa with En Suite at Malindi,"Malindi Beach, Malindi",Fully furnished villa Malindi available for Hol...,"KSh 65,000"
4 Bed House in Redhill,Redhill,4 bedroom house to rent in Redhill (Kenya) 3KE1...,"KSh 140,000"
5 Bed House with En Suite at Egrets Dr,"2, Egrets Dr, Nyari, Westlands",A Modern 5 Bedrooms stand alone villa for rent...,"KSh 200,000"
3 Bed House with En Suite in Kiambu Town,Kiambu Town,Kiambu Riverside: 3BR improved Maisonette with...,"KSh 75,000"
4 Bed House with En Suite at Runda,"Runda, Westlands",Runda unfurnished/furnished 4 and 5 bed with a...,"KSh 442,000"
4 Bed Townhouse with En Suite at Comboni Crescent,"Comboni, Comboni crescent, Karen",4 Bedroom Massionette TO LET in Karen Comboni C...,"KSh 270,000"
4 Bed Villa with En Suite in Lavington,Lavington,4 Bedroom Villa For Rent In Lavington,"KSh 350,000"
5 Bed House with En Suite in Kileleshwa,Kileleshwa,Kileleshwa 5 bedroom standalone to let,"KSh 350,000"
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Ridgeways",Executive 4 Bedroom House all Bedroom En-suite...,"KSh 250,000"
5 Bed Townhouse with En Suite at Near Gigiri,"Near Gigiri, Muthaiga",Captivating 5 bedrooms townhouse for rent near...,"KSh 600,000"
5 Bed Townhouse with En Suite in Karen,Karen,5 BEDROOM TOWNHOUSE FOR RENT IN KAREN WITH DSQ,"KSh 450,000"
4 Bed House in Runda,"Runda, Westlands",Modern House On Approximately Half Acre To Let...,"KSh 181,200"
4 Bed House with Garden in Lavington,"Lavington Nairobi, Lavington",A 4bdrm bungalow to let in lavington.,"KSh 250,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",5 bedroom house to rent in runda,"KSh 770,000"
4 Bed Townhouse in Lavington,Lavington,4 BEDROOM FOR RENT 400K,"KSh 400,000"
3 Bed Villa with En Suite in Mtwapa,Mtwapa,"3br Luxurious Beach Side Holiday Home North, 1...","KSh 15,000"
1 Bed House with En Suite at Kodhek Road,"kodhek road, Kilimani",one bedrooms full furnished kilimani,"KSh 135,000"
7 Bed Townhouse with En Suite in Thigiri,"Thigiri, Westlands",Ambassadorial 7 Bedroom All ensuite House with...,"KSh 850,000"
4 Bed Villa with En Suite at Ruiru - Githunguri Road,"Ruiru - Githunguri road, Ruiru",Modern Marvel: Luxurious 4-Bedrooms All En-suit...,"KSh 105,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Modern 4 bedroom Townhouse to let,"KSh 350,000"
4 Bed Townhouse with En Suite in Thika Road,Thika Road,4 bedroom townhouse to rent in Garden City (Ken...,"KSh 250,000"
2 Bed House with Garden at Warai South Road,"Warai South Road, Karen",A two bedroom cottage for rent in Karen.,"KSh 100,000"
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",4Bedroom Townhouse en-suite Master Bedroom with...,"KSh 270,000"
4 Bed House with En Suite at Varsityville,"Varsityville, Kamakis, Ruiru",4 Bedroom Villa( All-En-suite) To Let In Ruiru...,"KSh 85,000"
3 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",ENCHANTING AND RUSTIC 3 BEDROOM COTTAGE ON 1 AC...,"KSh 350,000"
4 Bed House with En Suite in Riverside,"Riverside Drive, Riverside, Westlands",4 bedroom maisonette to let along Riverside Dri...,"KSh 90,000"
5 Bed Townhouse with Swimming Pool in Lavington,Lavington,5bedroom 350k,"KSh 350,000"
1 Bed House in Kajiado County,Kajiado County,One bedroom for rent karen,"KSh 75,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",A gated community of 2 house 4 bedroom house fo...,"KSh 300,000"
5 Bed Villa with En Suite in Lavington,Lavington,Lavington in a well secured gated community 5be...,"KSh 350,000"
3 Bed House with En Suite at Kitisuru,"x, kitisuru, Kitisuru, Westlands",Lovely 3 bedroom duplex apartment for rent,"KSh 200,000"
6 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Lovely 6 Bedroom Townhouse,"KSh 300,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Five Bedroom All ensuite Home with DSQs,"KSh 450,000"
4 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",New Listing! Homely 4-Bedroom Townhouse for ren...,"KSh 260,000"
5 Bed House with En Suite at Lavington,"01, lavington, Lavington",Absolutely Stunning! Lavington Five Bedroom Vil...,"KSh 350,000"
5 Bed House with En Suite in Ongata Rongai,Ongata Rongai,5 Bedroom maisonette all ensuite,"KSh 60,000"
4 Bed Townhouse with Garden in Redhill,Redhill,4 Bedroom Townhouse to Let,"KSh 140,000"
5 Bed Villa with En Suite in Karen,Karen,Grandeur Gardens,"KSh 350,000"
5 Bed House with En Suite at,"Redhill Road,, Nyari, Westlands","Nyari, House for Rent,","KSh 250,000"
5 Bed House with Swimming Pool in Kiambu Road,Kiambu Road,Magnificent 5 Bedroom To Let along Kiambu Road,"KSh 200,000"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",NEWLY BUILT FIVE BEDROOM FAMILY HOME IN LORESHO...,"KSh 350,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Ready occupy townhouses for sales,"KSh 350,000"
4 Bed House with En Suite at Karen,Karen,4 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 350,000"
4 Bed Townhouse with En Suite at Muthaiga Dawns,"Muthaiga Dawns, Garden Estate, Roysambu",Elegant 4 Bedroomed Town House All Ensuite For...,"KSh 165,000"
4 Bed House in Thigiri,"Thigiri, Westlands",Four bedrooms bangallo for rent,"KSh 350,000"
6 Bed Townhouse with En Suite in Parklands,"Parklands, Westlands",Elegant 5 Bedroom + Guest Wing Townhouse To Let...,"KSh 170,000"
5 Bed Townhouse in Lavington,Lavington,5bedroom 350k,"KSh 350,000"
3 Bed House with En Suite at Muthaiga,Muthaiga,Lovely Three bedroom cottage,"KSh 400,000"
5 Bed House with En Suite at Miotoni Road,"O, miotoni road, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 275,000"
5 Bed House with En Suite in Lower Kabete,"Nairobi, Lower Kabete, Westlands",5 Bedroom Villa for Rent In Lower Kabete,"KSh 511,000"
5 Bed House with En Suite at Lavington,Lavington,Lavington 5 bedroom house to let,"KSh 330,000"
5 Bed Villa with Swimming Pool in Riverside,"Riverside, Westlands",Stunning 5 Bedroom Villa For Sale/ Rent in Rive...,"KSh 200,000"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands",TO LET : 4 BEDROOM ALL ENSUITE TOWNHOUSE IN SP...,"KSh 250,000"
5 Bed Villa with En Suite in Kileleshwa,Kileleshwa,Kileleshwa in a well secured gated community fu...,"KSh 400,000"
5 Bed House with En Suite at Bagathi Ridge,"Bagathi ridge, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 500,000"
3 Bed Townhouse with En Suite at Kibiko,"Kibiko, Ngong",Three bedrooms Mansion for rent in Kibiko Ngong,"KSh 65,000"
4 Bed Villa with En Suite at Apple Cross,"Apple Cross, Lavington","Lavington, Apple Cross, Luxury New Villas – TO...","KSh 500,000"
5 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands",Westlands a charming fully furnished 5bedrooms...,"KSh 350,000"
4 Bed House with En Suite at,"Runda Grove,, Runda, Westlands","Runda, House for Rent","KSh 320,000"
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,4BEDROOM TOWNHOUSE FOR RENT IN KILELESHWA!,"KSh 170,000"
3 Bed House with En Suite at Magadi Road,"magadi road, Karen",THREE BEDROOMS FOR RENT KAREN,"KSh 100,000"
4 Bed Villa with Swimming Pool in Nyali Area,"Nyali Area, Nyali",4 Bedroom detached villa for rent in Nyali (235...,"KSh 240,000"
4 Bed House with En Suite at Syokimau,"01, Syokimau",Executive 4 Bedroom House all bedroom en-suite...,"KSh 100,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Luxurious Lavington 5 Bedrooms Villa to let.,"KSh 350,000"
4 Bed Townhouse with En Suite in Kilimani,Kilimani,Kilimani 4 bedroom Townhouse with Dsq for rent,"KSh 200,000"
5 Bed House with En Suite at Runda Acacia Road,"227, Runda Acacia Road, Runda, Westlands",Sandwiched between built homes Modern House On...,"KSh 250,000"
3 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",3 & 1/2 Bedroom Townhouse with Luxury Amenities...,"KSh 280,000"
5 Bed House with En Suite at Rosslyn,"Rosslyn, Westlands",Executive 5 Bedroom house to let,"KSh 600,000"
3 Bed House with En Suite at Karen Hardy,"Karen hardy, Karen",3 BEDROOM COTTAGE FOR RENT IN KAREN NAIROBI KEN...,"KSh 380,000"
4 Bed Villa with En Suite at Kitisuru Rd,"kitisuru rd, Kitisuru, Westlands",An Exquisite Lavish 4 bedroom Townhouse for ren...,"KSh 380,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,An Exclusive Modern Villa For Rent in a Gated C...,"KSh 190,000"
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",4 bedroom house for lent in Rosslyn,"KSh 300,000"
4 Bed House in Kiambu Road,Kiambu Road,4 bedroom house to rent in Kiambu Road,"KSh 170,000"
4 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands","TO LET: HOUSE, WESTLANDS. 4 BEDROOMS, MASTER...","KSh 280,000"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",Less Crowded RealEstate! Magnificent 5 Bedroom...,"KSh 300,000"
3 Bed House with En Suite at Fourways Junction,"Fourways Junction, Kiambu Road",A 3BEDROOM VILLA TO LET AT FOURWAYS JUNCTION,"KSh 108,000"
2 Bed House with Garden in Runda,"Runda, Westlands",2 Bedroom Cottage For Rent in Runda,"KSh 170,000"
4 Bed House with En Suite in Ridgeways,Ridgeways,Less Crowded RealEstate! Ridgeways four bedroom...,"KSh 300,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Unique 4 Bedroom Townhouse for Rent,"KSh 250,000"
1 Bed House with En Suite at Runda Muhasibu,"Runda Muhasibu, Runda, Westlands",1 Bedroom Semi-furnished Guesthouse To Let In R...,"KSh 60,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4 bedroom townhouse to let in Kitisuru,"KSh 600,000"
2 Bed House with En Suite at Bongani Road,"Bongani road, Karen",2 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 40,000"
5 Bed Townhouse with En Suite in Nyari,"Nyari, Westlands",5 Bedroom All Ensuite Town House,"KSh 300,000"
7 Bed House with En Suite in Karen,Karen,7 bedroom house to rent in Karen (Kenya) 3KE161...,"KSh 440,000"
5 Bed Villa with En Suite in Karen,Karen,5 Bedrooms House in karen in Quiet Serene locat...,"KSh 350,000"
6 Bed House in Kilimani,Kilimani,Six bedrooms for rent lavigton,"KSh 800,000"
4 Bed Townhouse with En Suite at Kileleshwa,Kileleshwa,Kileleshwa 4 bedroom townhouse to let,"KSh 210,000"
5 Bed Townhouse with Garden in Lavington,"Lavington Nairobi, Lavington",A 5bdrm townhouse to let in lavington.,"KSh 400,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Homely 4Bedroom maisonette to Let in Lavington,"KSh 210,000"
4 Bed Villa with En Suite in Runda,"Runda, Westlands",FULLY FURNISHED ELEGANT 4 BEDROOMED VILLA,"KSh 250,000"
4 Bed Townhouse with En Suite in Mombasa CBD,"shanzu, Mombasa CBD, Mombasa Island",4 bedroom medium townhouse family home with a p...,"KSh 90,000"
3 Bed House with En Suite at Rosslyn Rontree,"Rosslyn Rontree, Rosslyn, Westlands",3 bedroom fully furnished house,"KSh 180,000"
5 Bed Townhouse with En Suite at Jacaranda Avenue,"67, Jacaranda Avenue, Lavington",This townhouse which is tucked nicely in a secu...,"KSh 360,000"
4 Bed Townhouse with En Suite at Garden Estate,"Garden Estate, Roysambu","4br Townhouse, Garden Estate","KSh 180,000"
2 Bed House with En Suite at Runda,"Runda, Westlands","2br House, Runda","KSh 150,000"
4 Bed House with En Suite in Karen,Karen,4 Bedroom House for Rent,"KSh 250,000"
4 Bed House with En Suite at Summerfield Estate,"Summerfield Estate, Kiambu Road",4 BR VILLA IN SUMMERFIELD TO LET,"KSh 180,000"
1 Bed House at Karen,"Off Langata Road, Karen",1 BEDROOM FULLY FURNISHED HOUSE FOR RENT IN KAR...,"KSh 100,000"
3 Bed House with En Suite at Nyali,"nyali, Nyali Area, Nyali",3 bedroom beach side bungalow for long term let...,"KSh 250,000"
4 Bed House with Garden in Garden Estate,"Garden Estate, Roysambu",Remarkable 4 Bedroom Villa For Rent in Garden E...,"KSh 270,000"
3 Bed House with En Suite in Runda,"Runda, Westlands",Fully Furnished Three Bedrooms Guesthouse For R...,"KSh 175,000"
1 Bed House with Garden in Nyari,"Nyari, Westlands","One Bedroom Cottage to Let in Nyari, Westlands","KSh 55,000"
4 Bed House with En Suite at Fourways Junction Estate,"Fourways Junction Estate, Kiambu Town",4Br Villa to Let in Fourways Junction Estate,"KSh 130,000"
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley, Westlands","4 Bedroom Townhouse For Rent, Spring Valley","KSh 250,000"
6 Bed Townhouse with En Suite in Lavington,Lavington,Lavington 6bedrooms plus dsq all ensuite townho...,"KSh 280,000"
5 Bed House with En Suite in Karen,Karen,A PALATIAL 5BR HOUSE TO LET IN KAREN,"KSh 400,000"
3 Bed House with En Suite at Riverside Drive.,"0721N/0723p, Riverside drive., Riverside, Westlands",Lavish fully furnished three bedroom distinctiv...,"KSh 190,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",5 Bedroom House For Rent,"KSh 300,000"
5 Bed Townhouse with Garden in Lavington,Lavington,"5 bedrooms, 200k","KSh 200,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Furnished 4 Bedroom ensuite to let,"KSh 360,000"
4 Bed Villa with En Suite at Ngecha Road,"Ngecha Road, Kitisuru, Westlands","Kitisuru, Villa, Gated Community – TO LET","KSh 600,000"
5 Bed Townhouse in Lavington,Lavington,5bedroom 230k,"KSh 230,000"
2 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,Kileleshwa Large 2 Bedroom Townhouse For Rent,"KSh 190,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Magnificent 5 Bedroom plus dsq to Let in Laving...,"KSh 175,000"
4 Bed Townhouse with Borehole in Kyuna,"Kyuna Nairobi, Kyuna, Westlands",A 4bdrm townhouse to let in westland.,"KSh 260,000"
2 Bed House with En Suite in Runda,"Runda, Westlands",Runda Two Bedrooms Furnished and Serviced Cotta...,"KSh 160,000"
5 Bed House with En Suite at Kilimani,Kilimani,Kilimani 5 bedroom townhouse to let,"KSh 150,000"
6 Bed Villa with En Suite in Kileleshwa,Kileleshwa,"6 BEDROOM VILLAS TO LET IN KILELESHWA, USD 3,3...","KSh 400,000"
4 Bed Townhouse with En Suite at Westlands,"westlands, General Mathenge, Westlands",Lovely Four bedroom Townhouse,"KSh 160,000"
4 Bed Townhouse with En Suite at Two Rivers,"Two Rivers, Runda, Westlands",Impressive 4 Bdr All En-suit Duplex Homes For...,"KSh 350,000"
3 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",FULLY FIURNISHED 3 BEDROOM HOUSE FOR RENT ROSSL...,"KSh 180,000"
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",HOUSE TO LET: 4 townhouse for rent- LORESHO,"KSh 300,000"
4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Runda, Westlands",Executive 4 Bedroom Bungalow commercial for r...,"KSh 300,000"
3 Bed House with En Suite in Karen,Karen,LUXURIOUS THREE BEDROOM KAREN COTTAGE,"KSh 200,000"
5 Bed House in Lower Kabete,"Lower Kabete, Westlands",5 Bedroom for rent on lower kabete road,"KSh 150,000"
5 Bed Townhouse with En Suite at Lavington,Lavington,"5br Townhouse, Lavington","KSh 250,000"
4 Bed Townhouse with Garden in Kilimani,Kilimani,Beautiful 4 Bedroom Townhouse to Let in Kiliman...,"KSh 200,000"
5 Bed House with En Suite in Lavington,Lavington,A townhouse for rent,"KSh 200,000"
5 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",5 BEDROOM HOLIDAY VILLAS SERENA.,"KSh 20,000"
4 Bed House with En Suite at Off Thika Highway,"Off Thika Highway, Kenyatta Road",Modern 3 Bedroom bungalow with a detached serva...,"KSh 55,000"
5 Bed House with En Suite at Loresho,"loresho, Loresho, Westlands",Elegant five bedroom house,"KSh 350,000"
5 Bed House with En Suite at Nyari,"Nyari, Westlands","5br House, Nyari","KSh 350,000"
4 Bed Villa with En Suite at Off Loresho Ridge,"2, Off Loresho Ridge, Loresho, Westlands",A Stunning 4 Bedrooms villa to let in Loresho.,"KSh 590,000"
3 Bed House with En Suite in Lavington,Lavington,3 bedroom bungalow to rent in Lavington (Kenya)...,"KSh 255,758"
1 Bed House with En Suite in Karen,Karen,Fully Furnished and Serviced 1 Bedroom Cottage...,"KSh 120,000"
4 Bed Townhouse with En Suite at Few Minutes Drive To Gigiri And Muthaiga,"Few minutes drive to Gigiri and muthaiga, Ridgeways",Spectacular and family house in Ridge ways clos...,"KSh 285,000"
9 Bed House with En Suite at Runda Grove,"78, Runda Grove, Runda, Westlands",Runda 9 Bedroom House to Rent with 2 Bedroom Gu...,"KSh 400,000"
4 Bed House with En Suite at Gigiri Rd,"1, Gigiri Rd, Gigiri, Westlands",A Cozy and modern 4 Bedrooms house to let in Gi...,"KSh 480,000"
4 Bed House with Garden at Runda Groove,"Runda Groove, Runda, Westlands",4 bedroom house to let in Runda on 1 acre with...,"KSh 290,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Brand New 4 Bedroomed Bungalow For Rent In Rund...,"KSh 400,000"
2 Bed House in Kitisuru,"Kitisuru, Westlands",2 Bedroom Guest Cottage To Let,"KSh 150,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Less Crowded RealEstate! Exceptional and Gorgeo...,"KSh 380,000"
5 Bed Villa with En Suite at Karen,"KAREN, Karen",SPACIOUS 5 BEDROOM HOUSE TO LET IN KAREN NEAR G...,"KSh 350,000"
4 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",4 bedroom house to rent in Lower Kabete (Kenya)...,"KSh 350,000"
5 Bed Townhouse with En Suite at Lavington,Lavington,Lavington 5 bedroom townhouse to let,"KSh 190,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,LUXURIOUS 5-BEDROOM TOWNHOUSES FOR RENT IN LAVI...,"KSh 250,000"
1 Bed House in Mtwapa,Mtwapa,1 br Furnished Swahili style house for rent in...,"KSh 60,000"
4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",High-End! Rosslyn 4 Bedroom Villa in a Gated Co...,"KSh 350,000"
5 Bed House with En Suite at Karen,"O, Karen",5 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 450,000"
5 Bed House with En Suite at Runda Road,"90, Runda Road, Runda, Westlands","Runda 5-bedroom house, where each bedroom boast...","KSh 300,000"
5 Bed House with Garden at Thigiri,"Thigiri, Westlands","5br House, Thigiri","KSh 700,000"
1 Bed House with En Suite in Runda,"Runda, Westlands",One bedroom fully furnished for rent in runda,"KSh 100,000"
5 Bed House with En Suite at Lavington,Lavington,Lavington 5 bedroom house to let,"KSh 350,000"
2 Bed House with Garden in Karen,Karen,2 BEDROOM COTTAGE,"KSh 100,000"
5 Bed Villa with En Suite at Off Easter Bypass,"Off Easter bypass, Kamakis, Ruiru",Experience Comfort and Style: 5-Bedrooms newly...,"KSh 80,000"
5 Bed Townhouse with En Suite in Brookside,"Brookside, Westlands",Stunning 5Bedroom Townhouse to let in Brookside...,"KSh 150,000"
4 Bed Townhouse with En Suite in Kitisuru,"Old Kitisuru, Kitisuru, Westlands",Executive 4 bedroom townhouse all ensuite with...,"KSh 3,000"
4 Bed Townhouse with En Suite in Ridgeways,Ridgeways,4 Bedroom Townhouse to Rent in Ridgeways,"KSh 430,000"
5 Bed House with En Suite at Lavington,Lavington,Lavington 5 bedroom standalone to let,"KSh 300,000"
3 Bed House with En Suite at Ruaka Rd,"2, Ruaka Rd, Runda, Westlands",A Cozy and Modern 3 Bedrooms double storied hou...,"KSh 300,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",5 bedroom house to rent in runda,"KSh 400,000"
3 Bed House with En Suite at Mukoma Road,"O, mukoma road, Karen",3 BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KENYA,"KSh 105,000"
5 Bed Villa with En Suite in Lower Kabete,"Lower Kabete, Westlands",5 BEDROOM VILLA FOR RENT LOWER KABETE,"KSh 425,000"
4 Bed Townhouse with En Suite at Lavington,Lavington,Lavington 4 bedroom townhouse to let,"KSh 200,000"
4 Bed House with En Suite at Lavington,"lavington, Lavington",Elegant Four bedroom cottage,"KSh 250,000"
4 Bed House with En Suite in Nyari,"Nyari, Westlands",Elegant 4 Bedroom All ensuite Mansion to Let in...,"KSh 400,000"
6 Bed House with En Suite at Karen Hardy,"O, Karen hardy, Karen",6 BEDROOM HOUSE FOR RENT IN KAREN,"KSh 450,000"
2 Bed House with En Suite in Muthaiga,Muthaiga,Less Crowded RealEstate! Fully Furnished 2 Bedr...,"KSh 350,000"
2 Bed House with En Suite in Nakuru County,Nakuru County,Fully furnished and serviced 2 Bedroomed en-sui...,"KSh 20,000"
3 Bed Townhouse with En Suite at Off Glory Road,"4, Off Glory road, Runda, Westlands",Elegantly designed 3 Bedrooms Townhouses in a s...,"KSh 250,000"
5 Bed Townhouse with En Suite in Ridgeways,Ridgeways,Five Bedroom Townhouse for Rent,"KSh 150,000"
5 Bed House with Garden at Loresho,"Loresho, Westlands","5br Bungalow, Loresho","KSh 280,000"
1 Bed House with En Suite in Nyari,"Nyari, Westlands",Charming 1 Bedroom Cottage For Rent,"KSh 115,000"
4 Bed Villa with En Suite in Redhill,Redhill,Luxurious 4-Bedroom Villa with Stunning Views i...,"KSh 150,000"
4 Bed House with En Suite at Kitisuru Kihingo Estate,"Kitisuru kihingo estate, Kitisuru, Westlands",Kitisuru kihingo estate near ISK stunning 4 bed...,"KSh 600,000"
6 Bed Villa with En Suite at Lower Kabete Road,"Lower Kabete road, Lower Kabete, Westlands",Beautiful 6 Bedroom Villa,"KSh 500,000"
4 Bed Townhouse in Muthaiga,Muthaiga,"4 bedrooms, 650k","KSh 650,000"
5 Bed Villa with En Suite in Rosslyn,"Rosslyn, Westlands",Experience luxury and comfort in 5 bedroom all...,"KSh 410,000"
5 Bed Townhouse with En Suite in Gikambura,"Gikambura, Kikuyu",Five Bedroom All En Suite Townhouse To Let,"KSh 70,000"
3 Bed House with Garden in Westlands Area,"Westlands Area, Westlands",PEPONI - An elegant newly built modern 3 Bedroo...,"KSh 250,000"
5 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",Imposing And Elegant 5 Bedroomed VIila In a Ga...,"KSh 400,000"
4 Bed Townhouse with Garden at Lavington,"lavington, Lavington",Corner Town Hse 4bd all ensuite dsq own gate to...,"KSh 230,000"
4 Bed Villa with En Suite at Lavington,Lavington,An Elegant Modern 4 bedroom villa.,"KSh 320,000"
4 Bed Villa with En Suite in Ruaka,Ruaka,4 bedroom's house for rent in ruaka ndederu,"KSh 140,000"
4 Bed Townhouse with En Suite at Ridgeways,"Ridgeways, RIDGEWAYS",Luxurious and comfortable home in a serene and...,"KSh 420,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Ambassadorial House for rent,"KSh 490,000"
4 Bed Townhouse with En Suite in Kilimani,Kilimani,Spacious 4 Bedroom plus Dsq to Let in Kilimani,"KSh 200,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",New 5 bedroom house for rent in runda,"KSh 400,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",Fully furnished 4 bedroom house for rent in run...,"KSh 490,000"
1 Bed House at Karen Plain,"Karen plain, Karen",ONE BEDROOM HOUSE FOR RENT IN KAREN NAIROBI KEN...,"KSh 25,000"
4 Bed Townhouse with Swimming Pool in Ridgeways,Ridgeways,4 bedroom Townhouse for Rent in Ridgeways,"KSh 300,000"
4 Bed Townhouse with En Suite at Limuru Rd.,"Limuru Rd., Tigoni, Limuru","Four bedroom villa+SQ in Redhill, Tigoni.","KSh 150,000"
5 Bed Townhouse with En Suite in Lower Kabete,"Lower Kabete, Westlands",Lower Kabete 5 bedroom town house,"KSh 300,000"
3 Bed House with Garden in Runda,"Runda, Westlands",Three Bedrooms Apartment For Rent In Runda,"KSh 130,000"
4 Bed Villa with En Suite at Karen,"KAREN, Karen",MAGNIFICENT 4 BEDROOMS VILLA PLUS DSQ & S/ POOL...,"KSh 300,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Exceptional 4Bedroom plus dsq Townhouse to Let...,"KSh 350,000"
