title,location,size,rental fee
5 Bed Townhouse with En Suite at Yaya Center,"Yaya center, Kilimani",Attractive secure 5 bedrooms townhouse plus Dsq...,"KSh 245,000"
4 Bed House with En Suite at Brookside,"Brookside, Westlands",4 Bedrooms All Ensuite at Brookside,"KSh 250,000"
2 Bed House with En Suite in Runda,"Runda, Westlands",Runda: 2 bedroom furnished loft apartment,"KSh 120,000"
4 Bed Townhouse with En Suite at Lavington,Lavington,Lavington Estate : 4 Bedroom Townhouse with a D...,"KSh 350,000"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands","4,5-, and 6-Bedroom Townhouses in Kirawa, Kitis...","KSh 200,000"
4 Bed Townhouse with En Suite at Lavington Green,"Lavington Green, Lavington",Attractive secure corner 4 bedrooms townhouse p...,"KSh 240,000"
4 Bed House with En Suite at Maziwa,"Maziwa, Lavington",Gorgeous secure 3 bedrooms cottage plus study a...,"KSh 235,000"
4 Bed Villa with En Suite at Lavington Green,"Lavington Green, Lavington",Elegantly designed 4 bedrooms townhouse plus fa...,"KSh 350,000"
4 Bed Townhouse with En Suite at Tigoni - Redhill,"Tigoni - Redhill, Redhill",Redhill – Tigoni – Limuru Road : 4 Bedroom Tow...,"KSh 140,000"
5 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",Executive Brand new 5 Bedroom House all en-sui...,"KSh 500,000"
5 Bed House with En Suite at Riara Road,"Riara Road, Lavington",5 Bedroom House with DSQ,"KSh 200,000"
4 Bed House with En Suite at Lavington Green,"Lavington Green, Lavington",Stunning secure 4 bedroom house plus tv room an...,"KSh 245,000"
4 Bed Townhouse with En Suite at Spring Valley,"spring valley, Spring Valley, Westlands",4 Bedroom All En Suite + Dsq House For Rent in...,"KSh 250,000"
5 Bed House with En Suite in Nyari,"Nyari, Westlands",Exquisite 5 bedroom house for rent in Nyari Est...,"KSh 300,000"
5 Bed House with En Suite at Lavington,Lavington,Lavington : 5 Bedroom Townhouse with one staff...,"KSh 250,000"
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",4 Bedroom House for rent at Ksh400k in Kitisuru...,"KSh 400,000"
